DTA_CST;COD_CDL;NME_SEG;NME_SBSEG;FXA_INI;FXA_FIM;FXA_UNI;TAR_SIM;VOL_FXA;VOL_ACU;FAT_FXA;FAT_ACU;TAR_MED
13/03/2019;GASBRASILIANO;COMERCIAL;NAO POSSUI;15000;50000;NAO;3,468;35000;50000;121380;174980;3,4996
13/03/2019;GASBRASILIANO;COMERCIAL;NAO POSSUI;50000;100000;NAO;3,342;50000;100000;167100;342080;3,4208
13/03/2019;GASBRASILIANO;INDUSTRIAL;GRANDE PORTE;0;15000;NAO;2,968;15000;15000;44520;44520;2,968
13/03/2019;GASBRASILIANO;INDUSTRIAL;GRANDE PORTE;15000;45000;NAO;2,348;30000;45000;70440;114960;2,5547
13/03/2019;GASBRASILIANO;INDUSTRIAL;GRANDE PORTE;45000;250000;NAO;2,188;205000;250000;448540;563500;2,254
13/03/2019;GASBRASILIANO;INDUSTRIAL;GRANDE PORTE;250000;500000;NAO;2,085;250000;500000;521250;1084750;2,1695
13/03/2019;GASBRASILIANO;INDUSTRIAL;GRANDE PORTE;500000;1000000;NAO;1,949;500000;1000000;974500;2059250;2,0593
13/03/2019;GASBRASILIANO;INDUSTRIAL;GRANDE PORTE;1000000;2000000;NAO;1,932;1000000;2000000;1932000;3991250;1,9956
13/03/2019;GASBRASILIANO;INDUSTRIAL;PEQUENO PORTE;0;3000;NAO;2,983;3000;3000;8949;8949;2,983
13/03/2019;GASBRASILIANO;INDUSTRIAL;PEQUENO PORTE;3000;7000;NAO;2,823;4000;7000;11292;20241;2,8916
13/03/2019;GASBRASILIANO;INDUSTRIAL;PEQUENO PORTE;7000;15000;NAO;2,58;8000;15000;20640;40881;2,7254
13/03/2019;GASBRASILIANO;INDUSTRIAL;PEQUENO PORTE;15000;40000;NAO;2,522;25000;40000;63050;103931;2,5983
13/03/2019;GASBRASILIANO;INDUSTRIAL;PEQUENO PORTE;40000;80000;NAO;2,464;40000;80000;98560;202491;2,5311
13/03/2019;GASBRASILIANO;RESIDENCIAL;MEDICAO COLETIVA;0;15000;NAO;3,581;15000;15000;53715;53715;3,581
13/03/2019;GASBRASILIANO;RESIDENCIAL;MEDICAO COLETIVA;15000;150000;NAO;3,464;135000;150000;467640;521355;3,4757
13/03/2019;GASBRASILIANO;RESIDENCIAL;MEDICAO COLETIVA;150000;225000;NAO;3,435;75000;225000;257625;778980;3,4621
13/03/2019;GASBRASILIANO;RESIDENCIAL;MEDICAO COLETIVA;225000;450000;NAO;3,396;225000;450000;764100;1543080;3,4291
13/03/2019;GASBRASILIANO;RESIDENCIAL;MEDICAO INDIVIDUAL;0;500;NAO;0;500;500;0;0;0
13/03/2019;GASBRASILIANO;RESIDENCIAL;MEDICAO INDIVIDUAL;500;4000;NAO;4,231;3500;4000;14808,5;14808,5;3,7021
13/03/2019;GASBRASILIANO;RESIDENCIAL;MEDICAO INDIVIDUAL;4000;8000;NAO;4,19;4000;8000;16760;31568,5;3,9461
13/03/2019;GASBRASILIANO;RESIDENCIAL;MEDICAO INDIVIDUAL;8000;16000;NAO;4,149;8000;16000;33192;64760,5;4,0475
13/03/2019;GASMIG;COGERACAO;NAO POSSUI;0;5000;NAO;1,8895;5000;5000;9447,5;9447,5;1,8895
13/03/2019;GASMIG;COGERACAO;NAO POSSUI;5000;50000;NAO;1,8192;45000;50000;81864;91311,5;1,8262
13/03/2019;GASMIG;COGERACAO;NAO POSSUI;50000;100000;NAO;1,7826;50000;100000;89130;180441,5;1,8044
13/03/2019;GASMIG;COGERACAO;NAO POSSUI;100000;500000;NAO;1,7519;400000;500000;700760;881201,5;1,7624
13/03/2019;GASMIG;COGERACAO;NAO POSSUI;500000;2000000;NAO;1,6843;1500000;2000000;2526450;3407651,5;1,7038
13/03/2019;GASMIG;COGERACAO;NAO POSSUI;2000000;4000000;NAO;1,648;2000000;4000000;3296000;6703651,5;1,6759
13/03/2019;GASMIG;COMERCIAL;NAO POSSUI;0;250;NAO;0;250;250;0;0;0
13/03/2019;GASMIG;COMERCIAL;NAO POSSUI;250;1000;NAO;2,7762;750;1000;2082,15;2082,15;2,0821
13/03/2019;GASMIG;COMERCIAL;NAO POSSUI;1000;2500;NAO;2,0838;1500;2500;3125,7;5207,85;2,0831
13/03/2019;GASMIG;COMERCIAL;NAO POSSUI;2500;5000;NAO;2,0558;2500;5000;5139,5;10347,35;2,0695
13/03/2019;GASMIG;COMERCIAL;NAO POSSUI;5000;12500;NAO;1,926;7500;12500;14445;24792,35;1,9834
13/03/2019;GASMIG;COMERCIAL;NAO POSSUI;12500;25000;NAO;1,9173;12500;25000;23966,25;48758,6;1,9503
13/03/2019;GASMIG;COMERCIAL;NAO POSSUI;25000;50000;NAO;1,9132;25000;50000;47830;96588,6;1,9318
13/03/2019;GASMIG;COMERCIAL;PEQUENO CLIENTE;0;50;NAO;4,653;50;50;232,65;232,65;4,653
13/03/2019;GASMIG;COMERCIAL;PEQUENO CLIENTE;50;150;NAO;3,6949;100;150;369,49;602,14;4,0143
13/03/2019;GASMIG;COMERCIAL;PEQUENO CLIENTE;150;300;NAO;3,5997;150;300;539,96;1142,1;3,807
13/03/2019;GASMIG;COMERCIAL;PEQUENO CLIENTE;300;600;NAO;3,5018;300;600;1050,54;2192,64;3,6544
13/03/2019;GASMIG;COMERCIAL;PEQUENO CLIENTE;600;1000;NAO;3,4852;400;1000;1394,08;3586,72;3,5867
13/03/2019;GASMIG;COMERCIAL;PEQUENO CLIENTE;1000;1500;NAO;3,3187;500;1500;1659,35;5246,07;3,4974
13/03/2019;GASMIG;COMERCIAL;PEQUENO CLIENTE;1500;2000;NAO;2,9155;500;2000;1457,75;6703,82;3,3519
13/03/2019;GASMIG;COMERCIAL;PEQUENO CLIENTE;2000;4000;NAO;2,7331;2000;4000;5466,2;12170,02;3,0425
13/03/2019;GASMIG;COMPRIMIDO;NAO POSSUI;0;0;SIM;1,7378;0;0;0;0;1,7378
13/03/2019;GASMIG;INDUSTRIAL;NAO POSSUI;0;1250;NAO;2,382;1250;1250;2977,5;2977,5;2,382
13/03/2019;GASMIG;INDUSTRIAL;NAO POSSUI;1250;2500;NAO;1,8278;1250;2500;2284,75;5262,25;2,1049
13/03/2019;GASMIG;INDUSTRIAL;NAO POSSUI;2500;6250;NAO;1,8072;3750;6250;6777;12039,25;1,9263
13/03/2019;GASMIG;INDUSTRIAL;NAO POSSUI;6250;12500;NAO;1,7746;6250;12500;11091,25;23130,5;1,8504
13/03/2019;GASMIG;INDUSTRIAL;NAO POSSUI;12500;62500;NAO;1,7671;50000;62500;88355;111485,5;1,7838
13/03/2019;GASMIG;INDUSTRIAL;NAO POSSUI;62500;187500;NAO;1,763;125000;187500;220375;331860,5;1,7699
13/03/2019;GASMIG;INDUSTRIAL;NAO POSSUI;187500;375000;NAO;1,7422;187500;375000;326662,5;658523;1,7561
13/03/2019;GASMIG;INDUSTRIAL;NAO POSSUI;375000;750000;NAO;1,7231;375000;750000;646162,5;1304685,5;1,7396
13/03/2019;GASMIG;INDUSTRIAL;NAO POSSUI;750000;1500000;NAO;1,6902;750000;1500000;1267650;2572335,5;1,7149
13/03/2019;GASMIG;INDUSTRIAL;NAO POSSUI;1500000;2000000;NAO;1,6689;500000;2000000;834450;3406785,5;1,7034
13/03/2019;GASMIG;INDUSTRIAL;NAO POSSUI;2000000;3000000;NAO;1,6345;1000000;3000000;1634500;5041285,5;1,6804
13/03/2019;GASMIG;INDUSTRIAL;NAO POSSUI;3000000;4000000;NAO;1,5971;1000000;4000000;1597100;6638385,5;1,6596
13/03/2019;GASMIG;INDUSTRIAL;NAO POSSUI;4000000;8000000;NAO;1,5668;4000000;8000000;6267200;12905585,5;1,6132
13/03/2019;GASMIG;INDUSTRIAL;USO GERAL;0;250;NAO;0;250;250;0;0;0
13/03/2019;GASMIG;INDUSTRIAL;USO GERAL;250;1000;NAO;2,7762;750;1000;2082,15;2082,15;2,0821
13/03/2019;GASMIG;INDUSTRIAL;USO GERAL;1000;2500;NAO;2,0838;1500;2500;3125,7;5207,85;2,0831
13/03/2019;GASMIG;INDUSTRIAL;USO GERAL;2500;5000;NAO;2,0558;2500;5000;5139,5;10347,35;2,0695
13/03/2019;GASMIG;INDUSTRIAL;USO GERAL;5000;12500;NAO;1,926;7500;12500;14445;24792,35;1,9834
13/03/2019;GASMIG;INDUSTRIAL;USO GERAL;12500;25000;NAO;1,9173;12500;25000;23966,25;48758,6;1,9503
13/03/2019;GASMIG;INDUSTRIAL;USO GERAL;25000;50000;NAO;1,9132;25000;50000;47830;96588,6;1,9318
13/03/2019;GASMIG;RESIDENCIAL;MEDICAO COLETIVA;0;150;NAO;4,0789;150;150;611,84;611,84;4,0789
13/03/2019;GASMIG;RESIDENCIAL;MEDICAO COLETIVA;150;1500;NAO;3,2848;1350;1500;4434,48;5046,32;3,3642
13/03/2019;GASMIG;RESIDENCIAL;MEDICAO COLETIVA;1500;3000;NAO;3,0046;1500;3000;4506,9;9553,22;3,1844
13/03/2019;GASMIG;RESIDENCIAL;MEDICAO INDIVIDUAL;0;1;NAO;0;1;1;0;0;0
13/03/2019;GASMIG;RESIDENCIAL;MEDICAO INDIVIDUAL;1;7;NAO;4,5018;6;7;27,01;27,01;3,8586
13/03/2019;GASMIG;RESIDENCIAL;MEDICAO INDIVIDUAL;7;16;NAO;3,7075;9;16;33,37;60,38;3,7737
13/03/2019;GASMIG;RESIDENCIAL;MEDICAO INDIVIDUAL;16;41;NAO;3,6308;25;41;90,77;151,15;3,6866
13/03/2019;GASMIG;RESIDENCIAL;MEDICAO INDIVIDUAL;41;200;NAO;3,4433;159;200;547,48;698,63;3,4931
13/03/2019;GASMIG;RESIDENCIAL;MEDICAO INDIVIDUAL;200;400;NAO;3,3244;200;400;664,88;1363,51;3,4088
13/03/2019;PBGAS;COMERCIAL;NAO POSSUI;0;20;NAO;0;20;20;0;0;0
13/03/2019;PBGAS;COMERCIAL;NAO POSSUI;20;100;NAO;4,1258;80;100;330,06;330,06;3,3006
13/03/2019;PBGAS;COMERCIAL;NAO POSSUI;100;400;NAO;3,6814;300;400;1104,42;1434,48;3,5862
13/03/2019;PBGAS;COMERCIAL;NAO POSSUI;400;800;NAO;3,075;400;800;1230;2664,48;3,3306
13/03/2019;PBGAS;COMERCIAL;NAO POSSUI;800;12000;NAO;2,6438;11200;12000;29610,56;32275,04;2,6896
13/03/2019;PBGAS;COMERCIAL;NAO POSSUI;12000;24000;NAO;1,9567;12000;24000;23480,4;55755,44;2,3231
13/03/2019;PBGAS;COMPRIMIDO;NAO POSSUI;0;0;SIM;1,6186;0;0;0;0;1,6186
13/03/2019;PBGAS;INDUSTRIAL;NAO POSSUI;0;700;NAO;2,0665;700;700;1446,55;1446,55;2,0665
13/03/2019;PBGAS;INDUSTRIAL;NAO POSSUI;700;3500;NAO;2,0506;2800;3500;5741,68;7188,23;2,0538
13/03/2019;PBGAS;INDUSTRIAL;NAO POSSUI;3500;7000;NAO;1,9803;3500;7000;6931,05;14119,28;2,017
13/03/2019;PBGAS;INDUSTRIAL;NAO POSSUI;7000;21000;NAO;1,9078;14000;21000;26709,2;40828,48;1,9442
13/03/2019;PBGAS;INDUSTRIAL;NAO POSSUI;21000;70000;NAO;1,8673;49000;70000;91497,7;132326,18;1,8904
13/03/2019;PBGAS;INDUSTRIAL;NAO POSSUI;70000;105000;NAO;1,8256;35000;105000;63896;196222,18;1,8688
13/03/2019;PBGAS;INDUSTRIAL;NAO POSSUI;105000;210000;NAO;1,7758;105000;210000;186459;382681,18;1,8223
13/03/2019;PBGAS;INDUSTRIAL;NAO POSSUI;210000;350000;NAO;1,7424;140000;350000;243936;626617,18;1,7903
13/03/2019;PBGAS;INDUSTRIAL;NAO POSSUI;350000;700000;NAO;1,6711;350000;700000;584885;1211502,18;1,7307
13/03/2019;PBGAS;INDUSTRIAL;NAO POSSUI;700000;840000;NAO;1,6035;140000;840000;224490;1435992,18;1,7095
13/03/2019;PBGAS;INDUSTRIAL;NAO POSSUI;840000;1400000;NAO;1,554;560000;1400000;870240;2306232,18;1,6473
13/03/2019;PBGAS;INDUSTRIAL;NAO POSSUI;1400000;2800000;NAO;1,5388;1400000;2800000;2154320;4460552,18;1,5931
13/03/2019;PBGAS;RESIDENCIAL;NAO POSSUI;0;20;NAO;0;20;20;0;0;0
13/03/2019;PBGAS;RESIDENCIAL;NAO POSSUI;20;40;NAO;4,4142;20;40;88,28;88,28;2,207
13/03/2019;PBGAS;VEICULAR;NAO POSSUI;0;0;SIM;1,8674;0;0;0;0;1,8674
13/03/2019;POTIGAS;COMERCIAL;NAO POSSUI;0;0;SIM;2,8003;0;0;0;0;2,8003
13/03/2019;POTIGAS;COMPRIMIDO;NAO POSSUI;0;0;SIM;1,8267;0;0;0;0;1,8267
13/03/2019;POTIGAS;INDUSTRIAL;NAO POSSUI;0;1000;NAO;2,1471;1000;1000;2147,1;2147,1;2,1471
13/03/2019;POTIGAS;INDUSTRIAL;NAO POSSUI;1000;5000;NAO;2,0906;4000;5000;8362,4;10509,5;2,1019
13/03/2019;POTIGAS;INDUSTRIAL;NAO POSSUI;5000;10000;NAO;2,0293;5000;10000;10146,5;20656;2,0656
13/03/2019;POTIGAS;INDUSTRIAL;NAO POSSUI;10000;25000;NAO;1,9724;15000;25000;29586;50242;2,0097
13/03/2019;POTIGAS;INDUSTRIAL;NAO POSSUI;25000;50000;NAO;1,8998;25000;50000;47495;97737;1,9547
13/03/2019;POTIGAS;INDUSTRIAL;NAO POSSUI;50000;100000;NAO;1,8244;50000;100000;91220;188957;1,8896
13/03/2019;POTIGAS;INDUSTRIAL;NAO POSSUI;100000;200000;NAO;1,7192;100000;200000;171920;360877;1,8044
13/03/2019;POTIGAS;INDUSTRIAL;NAO POSSUI;200000;400000;NAO;1,6139;200000;400000;322780;683657;1,7091
13/03/2019;POTIGAS;INDUSTRIAL;NAO POSSUI;400000;400000;NAO;1,5674;0;400000;0;683657;1,7091
13/03/2019;POTIGAS;RESIDENCIAL;NAO POSSUI;0;0;SIM;2,8003;0;0;0;0;2,8003
13/03/2019;POTIGAS;VEICULAR;NAO POSSUI;0;0;SIM;1,9146;0;0;0;0;1,9146
13/03/2019;SCGAS;COMERCIAL;NAO POSSUI;0;150;NAO;3,098;150;150;464,7;464,7;3,098
13/03/2019;SCGAS;COMERCIAL;NAO POSSUI;150;300;NAO;2,313;150;300;346,95;811,65;2,7055
13/03/2019;SCGAS;COMERCIAL;NAO POSSUI;300;2100;NAO;2,25;1800;2100;4050;4861,65;2,3151
13/03/2019;SCGAS;COMERCIAL;NAO POSSUI;2100;1000000;NAO;1,597;997900;1000000;1593646,3;1598507,95;1,5985
13/03/2019;SCGAS;INDUSTRIAL;TG1;0;5;NAO;2,951;5;5;14,76;14,76;2,952
13/03/2019;SCGAS;INDUSTRIAL;TG1;5;10;NAO;2,217;5;10;11,09;25,85;2,585
13/03/2019;SCGAS;INDUSTRIAL;TG1;10;70;NAO;2,158;60;70;129,48;155,33;2,219
13/03/2019;SCGAS;INDUSTRIAL;TG1;70;1000;NAO;1,482;930;1000;1378,26;1533,59;1,5336
13/03/2019;SCGAS;INDUSTRIAL;TG1;1000;5000;NAO;1,44;4000;5000;5760;7293,59;1,4587
13/03/2019;SCGAS;INDUSTRIAL;TG1;5000;10000;NAO;1,395;5000;10000;6975;14268,59;1,4269
13/03/2019;SCGAS;INDUSTRIAL;TG1;10000;25000;NAO;1,365;15000;25000;20475;34743,59;1,3897
13/03/2019;SCGAS;INDUSTRIAL;TG1;25000;50000;NAO;1,343;25000;50000;33575;68318,59;1,3664
13/03/2019;SCGAS;INDUSTRIAL;TG1;50000;100000;NAO;1,32;50000;100000;66000;134318,59;1,3432
13/03/2019;SCGAS;INDUSTRIAL;TG1;100000;150000;NAO;1,257;50000;150000;62850;197168,59;1,3145
13/03/2019;SCGAS;INDUSTRIAL;TG1;150000;200000;NAO;1,249;50000;200000;62450;259618,59;1,2981
13/03/2019;SCGAS;INDUSTRIAL;TG1;200000;1000000;NAO;1,243;800000;1000000;994400;1254018,59;1,254
13/03/2019;SCGAS;INDUSTRIAL;TG2;0;5;NAO;2,951;5;5;14,76;14,76;2,952
13/03/2019;SCGAS;INDUSTRIAL;TG2;5;10;NAO;2,217;5;10;11,09;25,85;2,585
13/03/2019;SCGAS;INDUSTRIAL;TG2;10;70;NAO;2,158;60;70;129,48;155,33;2,219
13/03/2019;SCGAS;INDUSTRIAL;TG2;70;1000;NAO;1,482;930;1000;1378,26;1533,59;1,5336
13/03/2019;SCGAS;INDUSTRIAL;TG2;1000;5000;NAO;1,583;4000;5000;6332;7865,59;1,5731
13/03/2019;SCGAS;INDUSTRIAL;TG2;5000;10000;NAO;1,542;5000;10000;7710;15575,59;1,5576
13/03/2019;SCGAS;INDUSTRIAL;TG2;10000;25000;NAO;1,508;15000;25000;22620;38195,59;1,5278
13/03/2019;SCGAS;INDUSTRIAL;TG2;25000;50000;NAO;1,488;25000;50000;37200;75395,59;1,5079
13/03/2019;SCGAS;INDUSTRIAL;TG2;50000;100000;NAO;1,468;50000;100000;73400;148795,59;1,488
13/03/2019;SCGAS;INDUSTRIAL;TG2;100000;150000;NAO;1,4;50000;150000;70000;218795,59;1,4586
13/03/2019;SCGAS;INDUSTRIAL;TG2;150000;200000;NAO;1,396;50000;200000;69800;288595,59;1,443
13/03/2019;SCGAS;INDUSTRIAL;TG2;200000;1000000;NAO;1,393;800000;1000000;1114400;1402995,59;1,403
13/03/2019;SCGAS;INDUSTRIAL;TG3;0;5;NAO;2,655;5;5;13,27;13,27;2,654
13/03/2019;SCGAS;INDUSTRIAL;TG3;5;10;NAO;1,922;5;10;9,61;22,88;2,288
13/03/2019;SCGAS;INDUSTRIAL;TG3;10;70;NAO;1,862;60;70;111,72;134,6;1,9229
13/03/2019;SCGAS;INDUSTRIAL;TG3;70;1000;NAO;1,186;930;1000;1102,98;1237,58;1,2376
13/03/2019;SCGAS;INDUSTRIAL;TG3;1000;5000;NAO;1,297;4000;5000;5188;6425,58;1,2851
13/03/2019;SCGAS;INDUSTRIAL;TG3;5000;10000;NAO;1,281;5000;10000;6405;12830,58;1,2831
13/03/2019;SCGAS;INDUSTRIAL;TG3;10000;25000;NAO;1,264;15000;25000;18960;31790,58;1,2716
13/03/2019;SCGAS;INDUSTRIAL;TG3;25000;50000;NAO;1,248;25000;50000;31200;62990,58;1,2598
13/03/2019;SCGAS;INDUSTRIAL;TG3;50000;100000;NAO;1,23;50000;100000;61500;124490,58;1,2449
13/03/2019;SCGAS;INDUSTRIAL;TG3;100000;150000;NAO;1,173;50000;150000;58650;183140,58;1,2209
13/03/2019;SCGAS;INDUSTRIAL;TG3;150000;200000;NAO;1,17;50000;200000;58500;241640,58;1,2082
13/03/2019;SCGAS;INDUSTRIAL;TG3;200000;1000000;NAO;1,17;800000;1000000;936000;1177640,58;1,1776
13/03/2019;SCGAS;RESIDENCIAL;MEDICAO COLETIVA;0;0;SIM;2,522;0;0;0;0;2,522
13/03/2019;SCGAS;VEICULAR;NAO POSSUI;0;0;SIM;1,33;0;0;0;0;1,33
13/03/2019;SERGAS;COGERACAO;NAO POSSUI;0;20;NAO;1,7286;20;20;34,57;34,57;1,7285
13/03/2019;SERGAS;COGERACAO;NAO POSSUI;20;40;NAO;1,7158;20;40;34,32;68,89;1,7223
13/03/2019;SERGAS;COGERACAO;NAO POSSUI;40;80;NAO;1,703;40;80;68,12;137,01;1,7126
13/03/2019;SERGAS;COGERACAO;NAO POSSUI;80;160;NAO;1,6902;80;160;135,22;272,23;1,7014
13/03/2019;SERGAS;COGERACAO;NAO POSSUI;160;320;NAO;1,6774;160;320;268,38;540,61;1,6894
13/03/2019;SERGAS;COGERACAO;NAO POSSUI;320;640;NAO;1,6646;320;640;532,67;1073,28;1,677
13/03/2019;SERGAS;COGERACAO;NAO POSSUI;640;1280;NAO;1,6518;640;1280;1057,15;2130,43;1,6644
13/03/2019;SERGAS;COGERACAO;NAO POSSUI;1280;2560;NAO;1,639;1280;2560;2097,92;4228,35;1,6517
13/03/2019;SERGAS;COGERACAO;NAO POSSUI;2560;5120;NAO;1,6262;2560;5120;4163,07;8391,42;1,6389
13/03/2019;SERGAS;COGERACAO;NAO POSSUI;5120;10240;NAO;1,6134;5120;10240;8260,61;16652,03;1,6262
13/03/2019;SERGAS;COGERACAO;NAO POSSUI;10240;20480;NAO;1,6006;10240;20480;16390,14;33042,17;1,6134
13/03/2019;SERGAS;COMERCIAL;NAO POSSUI;0;0;SIM;2,4244;0;0;0;0;2,4244
13/03/2019;SERGAS;COMPRIMIDO;NAO POSSUI;0;0;SIM;1,6044;0;0;0;0;1,6044
13/03/2019;SERGAS;INDUSTRIAL;NAO POSSUI;0;70;NAO;2,2976;70;70;160,83;160,83;2,2976
13/03/2019;SERGAS;INDUSTRIAL;NAO POSSUI;70;4500;NAO;1,9386;4430;4500;8588;8748,83;1,9442
13/03/2019;SERGAS;INDUSTRIAL;NAO POSSUI;4500;9000;NAO;1,9152;4500;9000;8618,4;17367,23;1,9297
13/03/2019;SERGAS;INDUSTRIAL;NAO POSSUI;9000;18000;NAO;1,8915;9000;18000;17023,5;34390,73;1,9106
13/03/2019;SERGAS;INDUSTRIAL;NAO POSSUI;18000;36000;NAO;1,8695;18000;36000;33651;68041,73;1,89
13/03/2019;SERGAS;INDUSTRIAL;NAO POSSUI;36000;72000;NAO;1,8478;36000;72000;66520,8;134562,53;1,8689
13/03/2019;SERGAS;INDUSTRIAL;NAO POSSUI;72000;144000;NAO;1,8258;72000;144000;131457,6;266020,13;1,8474
13/03/2019;SERGAS;INDUSTRIAL;NAO POSSUI;144000;288000;NAO;1,7465;144000;288000;251496;517516,13;1,7969
13/03/2019;SERGAS;INDUSTRIAL;NAO POSSUI;288000;576000;NAO;1,7024;288000;576000;490291,2;1007807,33;1,7497
13/03/2019;SERGAS;INDUSTRIAL;NAO POSSUI;576000;1152000;NAO;1,6619;576000;1152000;957254,4;1965061,73;1,7058
13/03/2019;SERGAS;INDUSTRIAL;NAO POSSUI;1152000;2304000;NAO;1,6407;1152000;2304000;1890086,4;3855148,13;1,6732
13/03/2019;SERGAS;RESIDENCIAL;NAO POSSUI;0;0;SIM;3,1224;0;0;0;0;3,1224
13/03/2019;SERGAS;VEICULAR;NAO POSSUI;0;0;SIM;1,8068;0;0;0;0;1,8068
13/03/2019;SULGAS;COGERACAO;HORARIO PONTA;0;8;NAO;0;8;8;0;0;0
13/03/2019;SULGAS;COGERACAO;HORARIO PONTA;8;16000;NAO;1,2816;15992;16000;20495,35;20495,35;1,281
13/03/2019;SULGAS;COGERACAO;HORARIO PONTA;16000;32000;NAO;1,2503;16000;32000;20004,8;40500,15;1,2656
13/03/2019;SULGAS;COGERACAO;PPT;0;16000;NAO;1,2623;16000;16000;20196,8;20196,8;1,2623
13/03/2019;SULGAS;COGERACAO;PPT;16000;40000;NAO;1,2255;24000;40000;29412;49608,8;1,2402
13/03/2019;SULGAS;COGERACAO;PPT;40000;120000;NAO;1,1744;80000;120000;93952;143560,8;1,1963
13/03/2019;SULGAS;COGERACAO;PPT;120000;240000;NAO;1,1135;120000;240000;133620;277180,8;1,1549
13/03/2019;SULGAS;COGERACAO;PPT;240000;800000;NAO;1,0713;560000;800000;599928;877108,8;1,0964
13/03/2019;SULGAS;COGERACAO;PPT;800000;1600000;NAO;0,9567;800000;1600000;765360;1642468,8;1,0265
13/03/2019;SULGAS;COMERCIAL;NAO POSSUI;0;200;NAO;3,4394;200;200;687,88;687,88;3,4394
13/03/2019;SULGAS;COMERCIAL;NAO POSSUI;200;4500;NAO;3,856;4300;4500;16580,8;17268,68;3,8375
13/03/2019;SULGAS;COMERCIAL;NAO POSSUI;4500;7500;NAO;3,4277;3000;7500;10283,1;27551,78;3,6736
13/03/2019;SULGAS;COMERCIAL;NAO POSSUI;7500;10000;NAO;2,999;2500;10000;7497,5;35049,28;3,5049
13/03/2019;SULGAS;COMERCIAL;NAO POSSUI;10000;15000;NAO;2,6931;5000;15000;13465,5;48514,78;3,2343
13/03/2019;SULGAS;COMERCIAL;NAO POSSUI;15000;30000;NAO;2,5585;15000;30000;38377,5;86892,28;2,8964
13/03/2019;SULGAS;COMPRIMIDO;NAO POSSUI;0;0;SIM;1,2121;0;0;0;0;1,2121
13/03/2019;SULGAS;INDUSTRIAL;FIRME;0;150;NAO;2,4768;150;150;371,52;371,52;2,4768
13/03/2019;SULGAS;INDUSTRIAL;FIRME;150;300;NAO;1,7291;150;300;259,37;630,89;2,103
13/03/2019;SULGAS;INDUSTRIAL;FIRME;300;500;NAO;1,6583;200;500;331,66;962,55;1,9251
13/03/2019;SULGAS;INDUSTRIAL;FIRME;500;1500;NAO;1,6083;1000;1500;1608,3;2570,85;1,7139
13/03/2019;SULGAS;INDUSTRIAL;FIRME;1500;5000;NAO;1,5948;3500;5000;5581,8;8152,65;1,6305
13/03/2019;SULGAS;INDUSTRIAL;FIRME;5000;10000;NAO;1,5497;5000;10000;7748,5;15901,15;1,5901
13/03/2019;SULGAS;INDUSTRIAL;FIRME;10000;15000;NAO;1,5318;5000;15000;7659;23560,15;1,5707
13/03/2019;SULGAS;INDUSTRIAL;FIRME;15000;25000;NAO;1,5141;10000;25000;15141;38701,15;1,548
13/03/2019;SULGAS;INDUSTRIAL;FIRME;25000;50000;NAO;1,4747;25000;50000;36867,5;75568,65;1,5114
13/03/2019;SULGAS;INDUSTRIAL;FIRME;50000;100000;NAO;1,4218;50000;100000;71090;146658,65;1,4666
13/03/2019;SULGAS;INDUSTRIAL;FIRME;100000;300000;NAO;1,3733;200000;300000;274660;421318,65;1,4044
13/03/2019;SULGAS;INDUSTRIAL;FIRME;300000;500000;NAO;1,3379;200000;500000;267580;688898,65;1,3778
13/03/2019;SULGAS;INDUSTRIAL;FIRME;500000;1000000;NAO;1,3321;500000;1000000;666050;1354948,65;1,3549
13/03/2019;SULGAS;INDUSTRIAL;INTERRUPTIVEL;0;500;NAO;1,8198;500;500;909,9;909,9;1,8198
13/03/2019;SULGAS;INDUSTRIAL;INTERRUPTIVEL;500;1000;NAO;1,7485;500;1000;874,25;1784,15;1,7842
13/03/2019;SULGAS;INDUSTRIAL;INTERRUPTIVEL;1000;1500;NAO;1,7133;500;1500;856,65;2640,8;1,7605
13/03/2019;SULGAS;INDUSTRIAL;INTERRUPTIVEL;1500;5000;NAO;1,6228;3500;5000;5679,8;8320,6;1,6641
13/03/2019;SULGAS;INDUSTRIAL;INTERRUPTIVEL;5000;10000;NAO;1,5643;5000;10000;7821,5;16142,1;1,6142
13/03/2019;SULGAS;INDUSTRIAL;INTERRUPTIVEL;10000;15000;NAO;1,5328;5000;15000;7664;23806,1;1,5871
13/03/2019;SULGAS;INDUSTRIAL;INTERRUPTIVEL;15000;25000;NAO;1,5026;10000;25000;15026;38832,1;1,5533
13/03/2019;SULGAS;INDUSTRIAL;INTERRUPTIVEL;25000;50000;NAO;1,4587;25000;50000;36467,5;75299,6;1,506
13/03/2019;SULGAS;INDUSTRIAL;INTERRUPTIVEL;50000;100000;NAO;1,4099;50000;100000;70495;145794,6;1,4579
13/03/2019;SULGAS;INDUSTRIAL;INTERRUPTIVEL;100000;300000;NAO;1,3699;200000;300000;273980;419774,6;1,3992
13/03/2019;SULGAS;INDUSTRIAL;INTERRUPTIVEL;300000;500000;NAO;1,3422;200000;500000;268440;688214,6;1,3764
13/03/2019;SULGAS;INDUSTRIAL;INTERRUPTIVEL;500000;1000000;NAO;1,3327;500000;1000000;666350;1354564,6;1,3546
13/03/2019;SULGAS;INDUSTRIAL;PEQUENO PORTE;0;300;NAO;1,8865;300;300;565,95;565,95;1,8865
