DTA_CST;COD_CDL;NME_SEG;NME_SBSEG;FXA_INI;FXA_FIM;FXA_UNI;TAR_SIM;VOL_FXA;VOL_ACU;FAT_FXA;FAT_ACU;TAR_MED
13/03/2019;BAHIAGAS;COMERCIAL;NAO POSSUI;4500;15000;NAO;1,9056;10500;15000;20008,8;29664,66;1,9776
13/03/2019;BAHIAGAS;COMERCIAL;NAO POSSUI;15000;30000;NAO;1,9032;15000;30000;28548;58212,66;1,9404
13/03/2019;BAHIAGAS;COMERCIAL;NAO POSSUI;30000;180000;NAO;1,8622;150000;180000;279330;337542,66;1,8752
13/03/2019;BAHIAGAS;COMERCIAL;NAO POSSUI;180000;360000;NAO;1,8348;180000;360000;330264;667806,66;1,855
13/03/2019;BAHIAGAS;COMERCIAL;NAO POSSUI;360000;600000;NAO;1,7947;240000;600000;430728;1098534,66;1,8309
13/03/2019;BAHIAGAS;COMERCIAL;NAO POSSUI;600000;1050000;NAO;1,7673;450000;1050000;795285;1893819,66;1,8036
13/03/2019;BAHIAGAS;COMERCIAL;NAO POSSUI;1050000;1800000;NAO;1,743;750000;1800000;1307250;3201069,66;1,7784
13/03/2019;BAHIAGAS;COMERCIAL;NAO POSSUI;1800000;30000000;NAO;1,7248;28200000;30000000;48639360;51840429,66;1,728
13/03/2019;BAHIAGAS;COMERCIAL;NAO POSSUI;30000000;60000000;NAO;1,6782;30000000;60000000;50346000;102186429,7;1,7031
13/03/2019;BAHIAGAS;COMPRIMIDO;NAO POSSUI;0;0;SIM;1,4725;0;0;0;0;1,4725
13/03/2019;BAHIAGAS;INDUSTRIAL;NAO POSSUI;0;105;NAO;3,0043;105;105;315,45;315,45;3,0043
13/03/2019;BAHIAGAS;INDUSTRIAL;NAO POSSUI;105;350;NAO;1,9868;245;350;486,77;802,22;2,2921
13/03/2019;BAHIAGAS;INDUSTRIAL;NAO POSSUI;350;1050;NAO;1,9007;700;1050;1330,49;2132,71;2,0312
13/03/2019;BAHIAGAS;INDUSTRIAL;NAO POSSUI;1050;3500;NAO;1,8579;2450;3500;4551,86;6684,57;1,9099
13/03/2019;BAHIAGAS;INDUSTRIAL;NAO POSSUI;3500;7000;NAO;1,8283;3500;7000;6399,05;13083,62;1,8691
13/03/2019;BAHIAGAS;INDUSTRIAL;NAO POSSUI;7000;42000;NAO;1,794;35000;42000;62790;75873,62;1,8065
13/03/2019;BAHIAGAS;INDUSTRIAL;NAO POSSUI;42000;84000;NAO;1,7763;42000;84000;74604,6;150478,22;1,7914
13/03/2019;BAHIAGAS;INDUSTRIAL;NAO POSSUI;84000;140000;NAO;1,7438;56000;140000;97652,8;248131,02;1,7724
13/03/2019;BAHIAGAS;INDUSTRIAL;NAO POSSUI;140000;245000;NAO;1,727;105000;245000;181335;429466,02;1,7529
13/03/2019;BAHIAGAS;INDUSTRIAL;NAO POSSUI;245000;420000;NAO;1,7081;175000;420000;298917,5;728383,52;1,7342
13/03/2019;BAHIAGAS;INDUSTRIAL;NAO POSSUI;420000;2800000;NAO;1,6792;2380000;2800000;3996496;4724879,52;1,6875
13/03/2019;BAHIAGAS;INDUSTRIAL;NAO POSSUI;2800000;4900000;NAO;1,6629;2100000;4900000;3492090;8216969,52;1,6769
13/03/2019;BAHIAGAS;INDUSTRIAL;NAO POSSUI;4900000;7000000;NAO;1,6498;2100000;7000000;3464580;11681549,52;1,6688
13/03/2019;BAHIAGAS;INDUSTRIAL;NAO POSSUI;7000000;14000000;NAO;1,6398;7000000;14000000;11478600;23160149,52;1,6543
13/03/2019;BAHIAGAS;RESIDENCIAL;NAO POSSUI;0;20;NAO;3,195;20;20;63,9;63,9;3,195
13/03/2019;BAHIAGAS;RESIDENCIAL;NAO POSSUI;20;100;NAO;2,8662;80;100;229,3;293,2;2,932
13/03/2019;BAHIAGAS;RESIDENCIAL;NAO POSSUI;100;850;NAO;2,7214;750;850;2041,05;2334,25;2,7462
13/03/2019;BAHIAGAS;RESIDENCIAL;NAO POSSUI;850;2500;NAO;2,6583;1650;2500;4386,2;6720,45;2,6882
13/03/2019;BAHIAGAS;RESIDENCIAL;NAO POSSUI;2500;5000;NAO;2,6121;2500;5000;6530,25;13250,7;2,6501
13/03/2019;BAHIAGAS;VEICULAR;NAO POSSUI;0;0;SIM;1,6782;0;0;0;0;1,6782
13/03/2019;CEGAS;COGERACAO;NAO POSSUI;0;70000;NAO;1,5459;70000;70000;108213;108213;1,5459
13/03/2019;CEGAS;COGERACAO;NAO POSSUI;70000;130000;NAO;1,5129;60000;130000;90774;198987;1,5307
13/03/2019;CEGAS;COGERACAO;NAO POSSUI;130000;230000;NAO;1,4795;100000;230000;147950;346937;1,5084
13/03/2019;CEGAS;COGERACAO;NAO POSSUI;230000;330000;NAO;1,4467;100000;330000;144670;491607;1,4897
13/03/2019;CEGAS;COGERACAO;NAO POSSUI;330000;670000;NAO;1,4135;340000;670000;480590;972197;1,451
13/03/2019;CEGAS;COGERACAO;NAO POSSUI;670000;1340002;NAO;1,3899;670002;1340002;931235,78;1903432,78;1,4205
13/03/2019;CEGAS;COMERCIAL;NAO POSSUI;0;20;NAO;0;20;20;0;0;0
13/03/2019;CEGAS;COMERCIAL;NAO POSSUI;20;5000;NAO;2,4419;4980;5000;12160,66;12160,66;2,4321
13/03/2019;CEGAS;COMERCIAL;NAO POSSUI;5000;10000;NAO;2,0915;5000;10000;10457,5;22618,16;2,2618
13/03/2019;CEGAS;COMERCIAL;NAO POSSUI;10000;12000;NAO;2,0849;2000;12000;4169,8;26787,96;2,2323
13/03/2019;CEGAS;COMERCIAL;NAO POSSUI;12000;14000;NAO;2,0783;2000;14000;4156,6;30944,56;2,2103
13/03/2019;CEGAS;COMERCIAL;NAO POSSUI;14000;16000;NAO;2,0714;2000;16000;4142,8;35087,36;2,193
13/03/2019;CEGAS;COMERCIAL;NAO POSSUI;16000;32002;NAO;2,0648;16002;32002;33040,93;68128,29;2,1289
13/03/2019;CEGAS;COMPRIMIDO;NAO POSSUI;0;0;SIM;1,5926;0;0;0;0;1,5926
13/03/2019;CEGAS;INDUSTRIAL;NAO POSSUI;0;200;NAO;1,7326;200;200;346,52;346,52;1,7326
13/03/2019;CEGAS;INDUSTRIAL;NAO POSSUI;200;1000;NAO;1,6933;800;1000;1354,64;1701,16;1,7012
13/03/2019;CEGAS;INDUSTRIAL;NAO POSSUI;1000;10000;NAO;1,6571;9000;10000;14913,9;16615,06;1,6615
13/03/2019;CEGAS;INDUSTRIAL;NAO POSSUI;10000;30000;NAO;1,6258;20000;30000;32516;49131,06;1,6377
13/03/2019;CEGAS;INDUSTRIAL;NAO POSSUI;30000;60000;NAO;1,595;30000;60000;47850;96981,06;1,6164
13/03/2019;CEGAS;INDUSTRIAL;NAO POSSUI;60000;120002;NAO;1,5649;60002;120002;93897,13;190878,19;1,5906
13/03/2019;CEGAS;RESIDENCIAL;NAO POSSUI;0;20;NAO;0;20;20;0;0;0
13/03/2019;CEGAS;RESIDENCIAL;NAO POSSUI;20;5000;NAO;2,9016;4980;5000;14449,97;14449,97;2,89
13/03/2019;CEGAS;RESIDENCIAL;NAO POSSUI;5000;10000;NAO;2,5511;5000;10000;12755,5;27205,47;2,7205
13/03/2019;CEGAS;RESIDENCIAL;NAO POSSUI;10000;12000;NAO;2,5445;2000;12000;5089;32294,47;2,6912
13/03/2019;CEGAS;RESIDENCIAL;NAO POSSUI;12000;14000;NAO;2,5379;2000;14000;5075,8;37370,27;2,6693
13/03/2019;CEGAS;RESIDENCIAL;NAO POSSUI;14000;16000;NAO;2,5311;2000;16000;5062,2;42432,47;2,652
13/03/2019;CEGAS;RESIDENCIAL;NAO POSSUI;16000;32002;NAO;2,5245;16002;32002;40397,05;82829,52;2,5883
13/03/2019;CEGAS;VEICULAR;NAO POSSUI;0;0;SIM;1,8605;0;0;0;0;1,8605
13/03/2019;COMGAS;COMERCIAL;NAO POSSUI;0;0;NAO;0;0;0;0;0;0
13/03/2019;COMGAS;COMERCIAL;NAO POSSUI;0;50;NAO;4,624956;50;50;231,25;231,25;4,625
13/03/2019;COMGAS;COMERCIAL;NAO POSSUI;50;150;NAO;4,214385;100;150;421,44;652,69;4,3513
13/03/2019;COMGAS;COMERCIAL;NAO POSSUI;150;500;NAO;3,942387;350;500;1379,84;2032,53;4,0651
13/03/2019;COMGAS;COMERCIAL;NAO POSSUI;500;2000;NAO;3,700083;1500;2000;5550,12;7582,65;3,7913
13/03/2019;COMGAS;COMERCIAL;NAO POSSUI;2000;3500;NAO;3,311126;1500;3500;4966,69;12549,34;3,5855
13/03/2019;COMGAS;COMERCIAL;NAO POSSUI;3500;50000;NAO;2,531036;46500;50000;117693,17;130242,51;2,6049
13/03/2019;COMGAS;COMERCIAL;NAO POSSUI;50000;100000;NAO;2,407865;50000;100000;120393,25;250635,76;2,5064
13/03/2019;COMGAS;COMPRIMIDO;NAO POSSUI;0;50000;NAO;2,290625;50000;50000;114531,25;114531,25;2,2906
13/03/2019;COMGAS;COMPRIMIDO;NAO POSSUI;50000;300000;NAO;1,773622;250000;300000;443405,5;557936,75;1,8598
13/03/2019;COMGAS;COMPRIMIDO;NAO POSSUI;300000;500000;NAO;1,715758;200000;500000;343151,6;901088,35;1,8022
13/03/2019;COMGAS;COMPRIMIDO;NAO POSSUI;500000;1000000;NAO;1,705119;500000;1000000;852559,5;1753647,85;1,7536
13/03/2019;COMGAS;COMPRIMIDO;NAO POSSUI;1000000;2000000;NAO;1,683374;1000000;2000000;1683374;3437021,85;1,7185
13/03/2019;COMGAS;COMPRIMIDO;NAO POSSUI;2000000;4000000;NAO;1,664186;2000000;4000000;3328372;6765393,85;1,6913
13/03/2019;COMGAS;INDUSTRIAL;NAO POSSUI;0;50000;NAO;2,489027;50000;50000;124451,35;124451,35;2,489
13/03/2019;COMGAS;INDUSTRIAL;NAO POSSUI;50000;300000;NAO;1,858298;250000;300000;464574,5;589025,85;1,9634
13/03/2019;COMGAS;INDUSTRIAL;NAO POSSUI;300000;500000;NAO;1,787708;200000;500000;357541,6;946567,45;1,8931
13/03/2019;COMGAS;INDUSTRIAL;NAO POSSUI;500000;1000000;NAO;1,774728;500000;1000000;887364;1833931,45;1,8339
13/03/2019;COMGAS;INDUSTRIAL;NAO POSSUI;1000000;2000000;NAO;1,7482;1000000;2000000;1748200;3582131,45;1,7911
13/03/2019;COMGAS;INDUSTRIAL;NAO POSSUI;2000000;4000000;NAO;1,724792;2000000;4000000;3449584;7031715,45;1,7579
13/03/2019;COMGAS;RESIDENCIAL;MEDICAO COLETIVA;0;500;NAO;4,032567;500;500;2016,28;2016,28;4,0326
13/03/2019;COMGAS;RESIDENCIAL;MEDICAO COLETIVA;500;2000;NAO;3,874666;1500;2000;5812;7828,28;3,9141
13/03/2019;COMGAS;RESIDENCIAL;MEDICAO COLETIVA;2000;4000;NAO;3,707981;2000;4000;7415,96;15244,24;3,8111
13/03/2019;COMGAS;RESIDENCIAL;MEDICAO INDIVIDUAL;0;1;NAO;0;1;1;0;0;0
13/03/2019;COMGAS;RESIDENCIAL;MEDICAO INDIVIDUAL;1;3;NAO;5,679451;2;3;11,36;11,36;3,7867
13/03/2019;COMGAS;RESIDENCIAL;MEDICAO INDIVIDUAL;3;7;NAO;2,739549;4;7;10,96;22,32;3,1886
13/03/2019;COMGAS;RESIDENCIAL;MEDICAO INDIVIDUAL;7;14;NAO;4,466368;7;14;31,26;53,58;3,8271
13/03/2019;COMGAS;RESIDENCIAL;MEDICAO INDIVIDUAL;14;34;NAO;4,958884;20;34;99,18;152,76;4,4929
13/03/2019;COMGAS;RESIDENCIAL;MEDICAO INDIVIDUAL;34;600;NAO;5,316109;566;600;3008,92;3161,68;5,2695
13/03/2019;COMGAS;RESIDENCIAL;MEDICAO INDIVIDUAL;600;1000;NAO;4,592752;400;1000;1837,1;4998,78;4,9988
